id,name
1, "Donald Trump"
2, "Robert Mueller"
3, "Michael Cohen"
4, "Chris Wallace"
5, "William Barr"
6, "Joe Biden"
7, "Paul Manafort"
8, "Barack Obama"
9, "John McCain"
10, "Bernie Sanders"
11, "Hillary Clinton"
12, "Vladimir Putin"
13, "Elizabeth Warren"
14, "Mike Pompeo"
15, "Kamala Harris"
16, "James Comey"
17, "Chris Cuomo"
18, "Lindsey Graham"
19, "Mitch McConnell"
20, "George Bush"
21, "Matthew Whitaker"
22, "Kim Jung Un"
23, "Jennifer Williams"
24, "Richard Nixon"
25, "Paul Ryan"
26, "John Bolton"
27, "Rudy Giuliani"
28, "Don McGahn"
29, "Beto O'Rourke"
30, "Nancy Pelosi"
31, "Shepard Smith"
39, "Brett Kavanaugh"
40, "Michael Flynn"
41, "Rod Rosenstein"
42, "Jeff Sessions"
43, "Konstantin Kilimni"
44, "Bruce Springsteen"
45, "Dana Perino"
46, "John Roberts"
47, "Cory Booker"
48, "Jesse Watters"
49, "Mick Mulvaney"
50, "Kellyanne Conway"
51, "Bill Clinton"
52, "Pete Buttigieg"
53, "Joy Behar"
54, "Karen McDougal"
55, "Roger Stone"
56, "Bill Gates"
58, "Benjamin Netanyahu"
59, "Julian Assanges"
60, "Ken Starr"
61, "Chuck Schumer"
62, "Kamala Harris"
63, "Jared Kushner"
64, "Ronald Reagan"
65, "James Mattis"
67, "Elon Musk"
69, "Donald Trump Jr"
70, "Mike Pence"
71, "Bill Barr"
72, "Adam Schiff"
73, "John Kelly"
74, "Ted Cruz"
75, "Recep Tayyip Erdogan"
76, "Sarah Sanders"
77, "John Kasich"
78, "Richard Nixon"
79, "Mitt Romney"
80, "Alexandria Ocasio-Cortez"
81, "Kirsten Gillibrand"
82, "Juan Williams"
